DataUploaded,ProcessedBy,DatePlanted,"PlanterType
",CollectionSite,CollectionDate,Species,TagID,Condition ,Mass(g),Width(cm),Propagule Length(cm),RadicleLength(cm),PropaguleColor,RadicleColor,Float(Y/N),PartofSomething,notes,,RetiredVariables,Damage?(Y/N),DateGerminated,total length(cm)
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,172,H,1.35,1.5,2.3,0.2,G,B,N,,,,,UD,10/19-11/05/21,2.5
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,173,H,0.5,1.1,1,1,G,B,N,,,,,UD,10/19-11/05/21,2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,174,H,0.82,1.2,1.8,0.3,G,B,N,,,,,D,10/19-11/05/21,2.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,175,H,0.86,1.4,2.9,1.2,G,B,N,,,,,D,10/19-11/05/21,4.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,176,H,0.94,1.4,0.9,1.8,G,B,N,,,,,D,10/19-11/05/21,2.7
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,177,P,0.55,1.1,1.9,0.1,G,B,N,,LUMP?,,,D,10/19-11/05/21,2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,178,H,0.57,1.2,0.7,1,G,B,N,,,,,D,10/19-11/05/21,1.7
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,179,N,0.61,1.3,1.4,1.1,G,B,N,,,,,D,10/19-11/05/21,2.5
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,180,H,0.65,1.3,1.6,0.9,G,B,N,,,,,D,10/19-11/05/21,2.5
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,181,H,0.2,0.8,1.2,0.9,G,B,N,,,,,D,10/19-11/05/21,2.1
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,182,H,1.42,1.7,1.5,1.9,G,B,N,,,,,UD,10/19-11/05/21,3.4
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,183,H,0.4,1.1,1.3,1.2,G,B,N,,,,,D,10/19-11/05/21,2.5
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,184,"B,P",0.38,1,1.5,1.3,G,B,N,,,,,D,10/19-11/05/21,2.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,185,"B,P",0.34,1,1.2,0.8,G,B,N,,,,,D,10/19-11/05/21,2
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,186,H,0.21,0.8,1,0.8,G,B,N,,,,,D,10/19-11/05/21,1.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,187,H,0.58,1.2,1.5,1.2,G,B,N,,,,,D,10/19-11/05/21,2.7
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,188,H,1.45,1.6,1.5,1.9,G,B,N,,,,,D,10/19-11/05/21,3.4
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,189,G,0.72,1.4,1.7,1.2,G,B,N,,,,,D,10/19-11/05/21,2.9
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,190,H,0.62,1.2,1.7,0.6,G,B,N,,,,,D,10/19-11/05/21,2.3
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,191,H,1.26,1.6,2.8,2.5,G,B,N,,,,,UD,10/19-11/05/21,5.3
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,192,H,1.41,1.6,2.1,1.2,G,B,N,,,,,UD,10/19-11/05/21,3.3
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,193,N,0.6,1.2,1.4,1.2,G,B,N,,,,,D,10/19-11/05/21,2.6
KH,"LU, HAS",11/5/2021,CC,STEER Basin,10/19/2021,AVGE,194,H,1.26,1.6,1.7,1.1,G,B,N,,H - LOST B4 PLANTING,,,D,10/19-11/05/21,2.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,9/23/2021,AVGE,195,H,0.78,1.3,3.4,2.3,G,B,N,,,,,UD,9/23/2021,5.7
KH,"LU, HAS",11/5/2021,CC,STEER Basin,9/23/2021,AVGE,196,H,0.61,1.2,1.7,1.1,G,B,N,,,,,UD,9/23/2021,2.8
KH,"LU, HAS",11/5/2021,CC,STEER Basin,9/23/2021,AVGE,197,"B,P",0.36,1,2.6,1,G,B,N,,,,,UD,9/23/2021,3.6
KH,"LU, HAS",11/5/2021,CC,STEER Basin,9/23/2021,AVGE,198,H,0.68,1.3,1.8,1.5,G,B,N,,,,,D,9/23/2021,3.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,199,H,0.38,1.5,1.9,0.2,G,Wt,N,,,,,N,11/19-11/22/21,2.1
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,200,H,1.61,1.6,2.1,0.4,G,G,N,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,201,H,1,1.3,1.9,0.3,G,Wt,N,,,,,N,11/19-11/22/21,2.2
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,202,B,1.18,1.5,1.9,0.4,G,G,N,,,,,Y,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,203,H,1.62,1.4,2.1,0.4,G,Wt,N,,,,,N,11/19-11/22/21,2.5
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,204,"G,N,B",1.2,1.5,1.7,0.8,G,G,N,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,205,H,0.57,1.1,1.6,0.3,G,Wt,N,,,,,N,11/19-11/22/21,1.9
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,206,"G,N",1.57,1.7,2.1,0.4,G,G,N,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,207,H,1.69,1.7,2.4,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,2.7
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,208,"B,P, G,N",0.93,1,1.8,0.5,G,G,N,,,,,Y,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,209,H,1.1,1.5,2.2,0.3,G,B,N,,,,,Y,11/19-11/22/21,2.5
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,210,H,1.85,0.9,2.3,0.7,G,G,N,,,,,N,11/19-11/22/21,3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,211,H,1.56,1.4,2.1,0.4,G,Wt,N,,,,,Y,11/19-11/22/21,2.5
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,212,"G,B",1.4,1.7,2,0.5,G,G,N,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,213,H,1.74,1.6,1.6,3.7,G,B,N,,,,,N,11/19-11/22/21,5.3
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,214,N,1.05,1.5,2,0.5,G,G,N,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,215,H,2.94,2.1,2.7,0.3,G,Wt,N,,,,,N,11/19-11/22/21,3
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,216,B,1.78,1.8,2.4,0.4,G,G,N,,,,,Y,11/19-11/22/21,2.8
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,217,H,2.12,1.9,2.9,0.4,G,Wt,N,,,,,N,11/19-11/22/21,3.3
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,218,H,0.74,0.5,2.1,0.4,G,G,N,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,219,H,2.03,1.8,2.6,0.3,G,Wt,N,,,,,N,11/19-11/22/21,2.9
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,220,H,1.14,1.8,1.9,0.2,G,G,Y,,,,,N,11/19-11/22/21,2.1
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,221,G,1.53,1.7,1.8,0.3,G,Wt,N,,,,,Y,11/19-11/22/21,2.1
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,222,"B,P,N",2.26,2,2.4,0.1,G,B,Y,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,223,H,0.42,2.2,1.1,0.6,G,Wt,N,,,,,N,11/19-11/22/21,1.7
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,224,H,1.7,1.7,0.3,2.6,G,G,Y,,,,,Y,11/19-11/22/21,2.9
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,225,H,1.65,1.8,2,0.5,G,Wt,N,,,,,N,11/19-11/22/21,2.5
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,226,"B,P",2.07,2,2.4,0.3,G,G,Y,,,,,N,11/19-11/22/21,2.7
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,227,H,1.34,1.7,2.1,0.4,G,Wt,N,,,,,N,11/19-11/22/21,2.5
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,228,G,1.34,1.6,2,0.5,G,G,Y,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,229,H,1.88,1.8,2.7,0.2,G,B,N,,,,,N,11/19-11/22/21,2.9
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,230,"B,P",1.32,2,1.7,0.8,G,G,Y,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,231,H,1,1.2,1.6,0.3,G,B,N,,,,,Y,11/19-11/22/21,1.9
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,232,H,1,1.5,1.9,1,G,G,Y,,,,,N,11/19-11/22/21,2.9
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,233,H,1.28,1.5,1.9,0.2,G,Wt,N,,,,,Y,11/19-11/22/21,2.1
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,234,H,1.16,1.5,1.9,0.3,G,G,Y,,,,,Y,11/19-11/22/21,2.2
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,235,H,0.93,1.3,1.6,0.3,G,Wt,N,,,,,Y,11/19-11/22/21,1.9
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,236,H,1.67,1.7,2.1,0.4,G,G,Y,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,237,N,1.96,1.8,1.6,3.7,G,B,N,,,,,Y,11/19-11/22/21,5.3
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,238,N,1.57,1.5,2,0.5,G,G,Y,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,239,H,1.24,1.2,0.6,1.6,G,Wt,N,,,,,N,11/19-11/22/21,2.2
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,240,H,1.45,1.5,1.7,0.8,G,G,Y,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,241,H,1.78,1.6,2.3,0.3,G,B,N,,,,,N,11/19-11/22/21,2.6
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,242,"N, G",1.49,1.7,1.5,1,G,G,Y,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,243,H,1.33,1.5,2.1,0.2,G,B,N,,,,,N,11/19-11/22/21,2.3
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,244,G,1.2,1.5,1.9,0.6,G,G,Y,,,,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,245,H,0.54,1.1,1.3,0.5,G,Wt,N,,,,,N,11/19-11/22/21,1.8
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,246,H,1.33,1.6,2.1,0.4,G,G,Y,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,247,"B,P,G",2.52,2,2.6,0.5,G,B,N,,,,,Y,11/19-11/22/21,3.1
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,248,H,1.16,1.7,1.6,1,G,G,Y,,"H, roots!",,,Y,11/19-11/22/21,2.6
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,249,N,1.63,1.5,2,0.6,G,B,N,,,,,Y,11/19-11/22/21,2.6
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,250,H,0.84,1.5,1.7,0.3,G,G,Y,,,,,N,11/19-11/22/21,2
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,251,H,0.78,1.4,1.6,0.5,G,Wt,N,,,,,N,11/19-11/22/21,2.1
KH,AJH,11/22/2021,CC,SRHB,11/19/2021,AVGE,252,"G,B,N",0.29,1.8,1.1,0.2,G,G,Y,,,,,N,11/19-11/22/21,1.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,253,H,0.62,1.1,1.5,0.4,G,Wt,N,,,,,N,11/19-11/22/21,1.9
KH,AJH,11/22/2021,CC,SRHB,11/18/2021,AVGE,254,H,1.03,2.2,2,1.5,G,G,Y,,"open, H",,,Y,11/19-11/22/21,3.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,255,H,0.45,1.4,2.1,0.5,G,B,Y,,,,,N,11/19-11/22/21,2.6
KH,AJH,11/22/2021,CC,SRHB,11/18/2021,AVGE,256,N,1.36,3.3,1.7,0.5,G,G,Y,,,,,Y,11/19-11/22/21,2.2
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,257,H,2.22,2.3,1.1,2.1,G,G,Y,,,,,N,11/18-11/22/21,3.2
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,258,G,1.32,1.5,1,1.9,G,G,Y,,,,,Y,11/18-11/22/21,2.9
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,259,"B,P",2,4,0.3,1.9,G,G,Y,,"open, H",,,Y,11/18-11/22/21,2.2
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,260,H,1.49,2.3,1,1.5,G,G,Y,,,,,N,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,261,"B,P",1.66,2,0.9,1.9,G,G,Y,,,,,N,11/18-11/22/21,2.8
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,262,P,0.82,1.9,1,1.5,G,G,Y,,"N, sun damage or predation?",,,Y,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,263,"B,P",1.66,2,1.4,1.5,G,G,Y,,,,,N,11/18-11/22/21,2.9
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,264,H,1.31,1.9,0.8,1.7,G,G,Y,,,,,N,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,265,N,1.3,2.1,1,2,G,G,Y,,N,,,Y,11/18-11/22/21,3
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,266,H,0.59,1.5,0.7,1.2,G,G,Y,,H,,,Y,11/18-11/22/21,1.9
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,267,H,1.3,1.9,1,1.5,G,G,Y,,,,,N,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,268,N,1.09,1.9,1,1.8,G,G,Y,,N,,,Y,11/18-11/22/21,2.8
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,269,H,1.47,2.9,1.1,1.8,G,G,Y,,,,,N,11/18-11/22/21,2.9
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,270,H,0.86,1.6,0.9,1.6,G,G,Y,,,,,N,11/18-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,271,H,1.28,1.4,1.8,0.6,G,Wt,Y,,,,,N,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,272,H,2.06,1.9,2.1,0.2,G,Wt,Y,,,,,N,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,273,H,1.93,1.9,2.2,0.5,G,Wt,Y,,,,,N,11/19-11/22/21,2.7
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,274,N,0.9,1.3,1.8,0.3,G,Wt,Y,,N,,,Y,11/19-11/22/21,2.1
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,275,H,1.23,1.3,1.9,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,2.2
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,276,N,1.16,1.5,2,0.4,G,Wt,Y,,N,,,Y,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,277,H,0.84,1.1,1.6,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,1.9
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,278,H,1.09,1.5,1.7,0.8,G,Wt,Y,,,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,279,H,2.05,1.5,2.1,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,280,G,0.63,2.4,1.2,1.2,G,Wt,Y,,G,,,Y,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,281,H,1.13,1.4,1.7,0.6,G,Wt,Y,,,,,N,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,282,B,1.79,1.7,1,2.6,G,B,Y,,B,,,Y,11/19-11/22/21,3.6
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,283,N,0.8,1.2,1.4,0.3,G,B,Y,,N,,,Y,11/19-11/22/21,1.7
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,284,H,1.4,1.6,2,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,285,H,1.15,1.4,1.7,0.4,G,Wt,Y,,,,,N,11/19-11/22/21,2.1
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,286,H,1.93,1.8,2.6,0.1,G,Wt,Y,,,,,N,11/19-11/22/21,2.7
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,287,N,1.05,1.3,1.7,0.3,G,Wt,Y,,N,,,Y,11/19-11/22/21,2
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,288,N,1.2,1.3,1.7,0.3,G,Wt,Y,,N,,,Y,11/19-11/22/21,2
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,289,H,1,1.2,1.7,0.7,G,Wt,Y,,,,,N,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,AL,11/19/2021,AVGE,290,N,0.87,2.8,1.2,0.9,G,Wt,Y,,N,,,Y,11/19-11/22/21,2.1
KH,"AND, JCC",11/22/2021,CC,GP,11/15/2021,AVGE,291,H,1.42,1.6,2.1,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,GP,11/15/2021,AVGE,292,B,1.18,1.4,1.9,0.6,G,Wt,N,,B (LOTS!),,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,GP,11/15/2021,AVGE,293,B,1,1.4,1.7,0.3,G,Wt,N,,B (LOTS!),,,Y,11/19-11/22/21,2
KH,KWG,11/23/2021,CC,SRHB,11/19/2021,AVGE,294,N,1,1.5,2.1,0.2,G,G,Y,,"H, N",,,Y,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,295,N,0.82,1.9,1,1.4,G,Wt,Y,,"open slightly, N",,,Y,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,296,H,1.18,1.4,1.6,0.6,G,Wt,Y,,,,,N,11/19-11/22/21,2.2
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,297,H,1.3,1.7,1.3,1,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,298,H,0.76,1.5,1.1,0.3,G,Wt,Y,,,,,N,11/19-11/22/21,1.4
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,299,H,1.05,2.1,1.3,1.1,G,Wt,Y,,"open slightly, H",,,Y,11/19-11/22/21,2.4
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,300,H,1.3,1.7,1.4,0.7,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,2.1
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,301,"B,P",1.23,2,1.3,1.2,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,302,N,1.2,2.3,1.1,1.5,G,Wt,Y,,"open slightly, N",,,Y,11/19-11/22/21,2.6
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,303,H,0.55,1.7,1.5,0.5,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,2
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,304,N,1,1.9,1.2,1.3,G,Wt,Y,,"open slightly , N",,,Y,11/19-11/22/21,2.5
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,305,H,1.17,2.2,0.5,1.8,G,Wt,Y,,"open slightly, H",,,Y,11/19-11/22/21,2.3
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,306,"B,P",0.95,2,1.3,0.4,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,1.7
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,307,H,1.04,1.5,1.5,0.5,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,2
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,308,N,1.18,1.8,1.6,0.4,G,Wt,Y,,"open slightly, N",,,Y,11/19-11/22/21,2
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,309,H,1.9,1.5,1.1,0.4,G,Wt,Y,,"open slightly , H",,,Y,11/19-11/22/21,1.5
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,310,H,1,1.7,1.3,0.5,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,1.8
KH,"AND, JCC",11/22/2021,CC,SRBB,11/18/2021,AVGE,311,H,1.68,1.7,2.1,0.4,G,Wt,Y,,open slightly,,,N,11/19-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,312,H,1.51,1.7,2,0.5,G,G,Y,,,,,N,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,313,B,1.43,1.9,2.4,0.1,G,G,Y,,B along edges,,,Y,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,314,"G,P",1.31,1.9,1.8,1.2,G,G,Y,,"G, maybe H",,,Y,11/18-11/22/21,3
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,315,N,1,3.1,1,1.5,G,G,Y,,"open, N",,,Y,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,316,B,0.35,1.2,0.5,1,G,G,Y,,B (small amount),,,Y,11/18-11/22/21,1.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,317,B,0.9,1.4,0.7,1.4,G,G,Y,,B,,,Y,11/18-11/22/21,2.1
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,318,"B,P",0.66,1,1.5,0.5,G,G,Y,,deformed,,,N,11/18-11/22/21,2
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,319,"B,P",1.3,2,1.7,0.8,G,G,Y,,N,,,Y,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,320,B,0.84,1.5,1.5,1.5,G,G,Y,,B or sun damage,,,Y,11/18-11/22/21,3
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,321,H,1,1.8,2,0.5,G,G,Y,,,,,N,11/18-11/22/21,2.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,322,H,0.52,1.3,1.4,0.3,G,G,Y,,deformed,,,N,11/18-11/22/21,1.7
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,323,H,0.12,1.5,1.1,0.4,G,G,Y,,open,,,N,11/18-11/22/21,1.5
KH,"TT, HS",11/22/2021,CC,SRBB,11/18/2021,AVGE,324,H,0.44,1.1,1.5,0.5,G,G,Y,,,,,Y,11/18-11/22/21,2
KH,KWG,11/23/2021,CC,AL,11/19/2021,AVGE,325,"B,P,N",1.46,1,0.4,1.2,G,G,Y,,,,,Y,11/22-11/23/21,1.6
KH,KWG,11/23/2021,CC,AL,11/19/2021,AVGE,326,N,1.12,1.5,0.9,1.4,G,G,Y,,,,,Y,11/22-11/23/21,2.3
KH,KWG,11/23/2021,CC,SRBB,11/19/2021,AVGE,327,B,1.3,1.7,1.7,0.2,G,B,N,,severe brown discoloration,,,Y,11/22-11/23/21,1.9
KH,KWG,11/23/2021,CC,SRBB,11/19/2021,AVGE,328,B,1.1,1.6,1.2,0.7,G,B,N,,browing on outer set of leaves,,,Y,11/22-11/23/21,1.9
KH,KWG,11/23/2021,CC,SRBB,11/19/2021,AVGE,329,H,0.82,1.5,1,1,G,B,Y,,,,,Y,11/22-11/23/21,2
KH,KWG,11/23/2021,CC,SRBB,11/19/2021,AVGE,330,N,0.75,1.1,0.7,1.1,G,B,N,,,,,Y,11/22-11/23/21,1.8
KH,KWG,11/23/2021,CC,GP,11/15/2021,AVGE,331,N,2.31,2.1,1.3,1.8,G,G,N,,,,,Y,11/22-11/23/21,3.1
KH,KWG,11/23/2021,CC,SRBB,11/18/2021,AVGE,332,H,0.94,1.5,1.1,1.5,G,G,Y,,,,,N,11/22-11/23/21,2.6
KH,KWG,11/23/2021,CC,SRBB,11/18/2021,AVGE,333,H,0.62,1.3,0.9,1.5,G,G,Y,,,,,N,11/22-11/23/21,2.4
KH,KWG,11/23/2021,CC,SRBB,11/18/2021,AVGE,334,H,0.87,1.7,1,1.3,G,B,Y,,,,,N,11/22-11/23/21,2.3
